frame,pgsnh,gpsnl,gpseh,gpsel,heading_angle,yaw_rate,gps_state,gps_velocity,acceleration_forward,acceleration_lateral,acceleration_down,pitch_angle,velocity_down,velocity_lateral,velocity_forward,roll_angle
1,36.000000,0.177024,120.000000,0.488153,85.320000,-0.090000,4.000000,0.000000,-5.947000,-2.756000,-17.996000,16.630000,-1.370000,0.000000,0.000000,8.150000
2,36.000000,0.177024,120.000000,0.488153,85.320000,0.030000,4.000000,0.000000,-5.143000,1.331000,-17.670000,12.310000,-1.500000,0.000000,0.000000,8.160000
3,36.000000,0.177024,120.000000,0.488153,85.320000,0.030000,4.000000,0.000000,-5.143000,1.331000,-17.670000,12.310000,-1.500000,0.000000,0.000000,8.160000
4,36.000000,0.177024,120.000000,0.488153,85.320000,-0.120000,4.000000,0.000000,-6.666000,-0.693000,-12.065000,24.170000,-1.700000,0.000000,0.000000,8.150000
5,36.000000,0.177024,120.000000,0.488153,85.320000,-0.120000,4.000000,0.000000,-6.666000,-0.693000,-12.065000,24.170000,-1.700000,0.000000,0.000000,8.150000
6,36.000000,0.177024,120.000000,0.488153,85.350000,0.120000,4.000000,0.020000,-0.298000,0.581000,-10.342000,18.020000,-1.820000,0.000000,0.000000,8.200000
7,36.000000,0.177024,120.000000,0.488153,85.350000,0.120000,4.000000,0.020000,-0.298000,0.581000,-10.342000,18.020000,-1.820000,0.000000,0.000000,8.200000
8,36.000000,0.177024,120.000000,0.488153,85.350000,-0.040000,4.000000,0.020000,5.693000,-6.216000,-20.288000,7.000000,-2.030000,0.000000,0.000000,8.150000
9,36.000000,0.177024,120.000000,0.488153,85.350000,-0.090000,4.000000,0.020000,2.521000,-2.354000,-9.221000,13.590000,-2.020000,0.000000,0.000000,8.180000
10,36.000000,0.177024,120.000000,0.488153,85.350000,-0.090000,4.000000,0.020000,2.521000,-2.354000,-9.221000,13.590000,-2.020000,0.000000,0.000000,8.180000
11,36.000000,0.177024,120.000000,0.488153,85.350000,-0.090000,4.000000,0.020000,2.521000,-2.354000,-9.221000,13.590000,-2.020000,0.000000,0.000000,8.180000
12,36.000000,0.177024,120.000000,0.488153,85.360000,0.160000,4.000000,0.020000,-5.000000,6.008000,7.043000,3.300000,-1.880000,0.000000,0.000000,8.190000
13,36.000000,0.177024,120.000000,0.488153,85.360000,-0.190000,4.000000,0.020000,7.343000,-3.151000,-5.401000,-5.630000,-1.900000,0.000000,0.000000,8.170000
14,36.000000,0.177024,120.000000,0.488153,85.360000,-0.190000,4.000000,0.020000,7.343000,-3.151000,-5.401000,-5.630000,-1.900000,0.000000,0.000000,8.170000
15,36.000000,0.177024,120.000000,0.488153,85.360000,0.110000,4.000000,0.020000,-6.570000,10.049000,0.976000,-5.500000,-1.850000,0.000000,0.000000,8.190000
16,36.000000,0.177024,120.000000,0.488153,85.360000,0.110000,4.000000,0.020000,-6.570000,10.049000,0.976000,-5.500000,-1.850000,0.000000,0.000000,8.190000
17,36.000000,0.177024,120.000000,0.488153,85.360000,-0.270000,4.000000,0.020000,-4.894000,-3.255000,1.101000,-14.350000,-1.740000,0.000000,0.000000,8.170000
18,36.000000,0.177024,120.000000,0.488153,85.360000,-0.270000,4.000000,0.020000,-4.894000,-3.255000,1.101000,-14.350000,-1.740000,0.000000,0.000000,8.170000
19,36.000000,0.177024,120.000000,0.488153,85.360000,0.010000,4.000000,0.020000,-5.223000,8.752000,7.816000,-2.980000,-1.720000,0.000000,0.000000,8.190000
20,36.000000,0.177024,120.000000,0.488153,85.360000,0.010000,4.000000,0.020000,-5.223000,8.752000,7.816000,-2.980000,-1.720000,0.000000,0.000000,8.190000
21,36.000000,0.177024,120.000000,0.488153,85.360000,-0.200000,4.000000,0.020000,-7.767000,1.775000,5.463000,-5.730000,-1.650000,0.000000,0.000000,8.170000
22,36.000000,0.177024,120.000000,0.488153,85.350000,-0.080000,4.000000,0.020000,-5.331000,7.663000,-5.146000,6.060000,-1.790000,0.000000,0.000000,8.130000
23,36.000000,0.177024,120.000000,0.488153,85.350000,-0.080000,4.000000,0.020000,-5.331000,7.663000,-5.146000,6.060000,-1.790000,0.000000,0.000000,8.130000
24,36.000000,0.177024,120.000000,0.488153,85.350000,0.370000,4.000000,0.020000,-9.662000,8.088000,0.941000,1.720000,-1.850000,0.000000,0.000000,8.140000
25,36.000000,0.177024,120.000000,0.488153,85.350000,0.370000,4.000000,0.020000,-9.662000,8.088000,0.941000,1.720000,-1.850000,0.000000,0.000000,8.140000
26,36.000000,0.177024,120.000000,0.488153,85.330000,-0.170000,4.000000,0.020000,-0.724000,-2.419000,0.576000,1.220000,-1.800000,0.000000,0.000000,8.060000
27,36.000000,0.177024,120.000000,0.488153,85.330000,-0.170000,4.000000,0.020000,-0.724000,-2.419000,0.576000,1.220000,-1.800000,0.000000,0.000000,8.060000
28,36.000000,0.177024,120.000000,0.488153,85.330000,0.310000,4.000000,0.020000,8.078000,-5.112000,-11.366000,11.770000,-1.900000,0.000000,0.000000,8.090000
29,36.000000,0.177024,120.000000,0.488153,85.330000,0.310000,4.000000,0.020000,8.078000,-5.112000,-11.366000,11.770000,-1.900000,0.000000,0.000000,8.090000
30,36.000000,0.177024,120.000000,0.488153,85.330000,0.030000,4.000000,0.020000,-4.176000,2.632000,-12.714000,5.110000,-1.950000,0.000000,0.000000,8.040000
31,36.000000,0.177024,120.000000,0.488153,85.330000,0.030000,4.000000,0.020000,-4.176000,2.632000,-12.714000,5.110000,-1.950000,0.000000,0.000000,8.040000
32,36.000000,0.177024,120.000000,0.488153,85.380000,0.290000,4.000000,0.040000,13.230000,-8.645000,-13.543000,18.000000,-2.080000,0.000000,0.010000,8.070000
33,36.000000,0.177024,120.000000,0.488153,85.380000,0.290000,4.000000,0.040000,13.230000,-8.645000,-13.543000,18.000000,-2.080000,0.000000,0.010000,8.070000
34,36.000000,0.177024,120.000000,0.488153,85.380000,0.060000,4.000000,0.040000,-1.644000,1.009000,-18.329000,4.300000,-2.080000,0.000000,0.010000,8.030000
35,36.000000,0.177024,120.000000,0.488153,85.380000,0.060000,4.000000,0.040000,-1.644000,1.009000,-18.329000,4.300000,-2.080000,0.000000,0.010000,8.030000
36,36.000000,0.177024,120.000000,0.488153,85.270000,0.200000,4.000000,0.020000,11.221000,-9.168000,-19.435000,-2.120000,-2.310000,0.000000,0.010000,8.010000
37,36.000000,0.177024,120.000000,0.488153,85.270000,0.050000,4.000000,0.020000,3.337000,0.620000,-9.213000,9.570000,-2.260000,0.000000,0.000000,8.030000
38,36.000000,0.177024,120.000000,0.488153,85.270000,0.050000,4.000000,0.020000,3.337000,0.620000,-9.213000,9.570000,-2.260000,0.000000,0.000000,8.030000
39,36.000000,0.177024,120.000000,0.488153,85.270000,-0.190000,4.000000,0.020000,4.982000,-6.146000,-19.520000,1.280000,-2.290000,0.000000,0.000000,7.960000
40,36.000000,0.177024,120.000000,0.488153,85.270000,-0.190000,4.000000,0.020000,4.982000,-6.146000,-19.520000,1.280000,-2.290000,0.000000,0.000000,7.960000
41,36.000000,0.177024,120.000000,0.488153,85.250000,-0.120000,4.000000,0.040000,8.299000,-4.257000,-11.443000,3.470000,-2.400000,0.000000,0.010000,7.960000
42,36.000000,0.177024,120.000000,0.488153,85.250000,-0.210000,4.000000,0.040000,2.728000,-4.917000,-19.236000,0.290000,-2.230000,0.000000,0.010000,7.900000
43,36.000000,0.177024,120.000000,0.488153,85.250000,-0.210000,4.000000,0.040000,2.728000,-4.917000,-19.236000,0.290000,-2.230000,0.000000,0.010000,7.900000
44,36.000000,0.177024,120.000000,0.488153,85.250000,-0.100000,4.000000,0.040000,-3.509000,0.037000,3.559000,-1.310000,-2.240000,0.000000,0.010000,7.890000
45,36.000000,0.177024,120.000000,0.488153,85.250000,-0.100000,4.000000,0.040000,-3.509000,0.037000,3.559000,-1.310000,-2.240000,0.000000,0.010000,7.890000
46,36.000000,0.177024,120.000000,0.488153,85.270000,-0.110000,4.000000,0.050000,1.128000,-6.615000,-13.087000,4.010000,-2.170000,0.000000,0.010000,7.850000
47,36.000000,0.177024,120.000000,0.488153,85.270000,-0.110000,4.000000,0.050000,1.128000,-6.615000,-13.087000,4.010000,-2.170000,0.000000,0.010000,7.850000
48,36.000000,0.177024,120.000000,0.488153,85.270000,-0.200000,4.000000,0.050000,-3.202000,3.360000,4.634000,0.350000,-2.120000,0.000000,0.010000,7.840000
49,36.000000,0.177024,120.000000,0.488153,85.270000,-0.200000,4.000000,0.050000,-3.202000,3.360000,4.634000,0.350000,-2.120000,0.000000,0.010000,7.840000
50,36.000000,0.177024,120.000000,0.488153,85.330000,-0.130000,4.000000,0.040000,-1.838000,8.367000,6.895000,17.760000,-2.120000,0.000000,0.080000,7.850000
51,36.000000,0.177024,120.000000,0.488153,85.330000,-0.130000,4.000000,0.040000,-1.838000,8.367000,6.895000,17.760000,-2.120000,0.000000,0.080000,7.850000
52,36.000000,0.177024,120.000000,0.488153,85.330000,-0.170000,4.000000,0.040000,-9.515000,9.097000,4.538000,8.780000,-2.000000,0.000000,0.000000,7.830000
53,36.000000,0.177024,120.000000,0.488153,85.330000,-0.170000,4.000000,0.040000,-9.515000,9.097000,4.538000,8.780000,-2.000000,0.000000,0.000000,7.830000
54,36.000000,0.177024,120.000000,0.488153,85.330000,0.090000,4.000000,0.040000,-1.053000,7.736000,4.812000,3.310000,-2.020000,0.000000,0.010000,7.760000
55,36.000000,0.177024,120.000000,0.488153,85.290000,0.490000,4.000000,0.050000,-10.735000,11.385000,0.677000,3.260000,-1.880000,0.000000,0.010000,7.790000
56,36.000000,0.177024,120.000000,0.488153,85.290000,0.490000,4.000000,0.050000,-10.735000,11.385000,0.677000,3.260000,-1.880000,0.000000,0.010000,7.790000
57,36.000000,0.177024,120.000000,0.488153,85.290000,-0.030000,4.000000,0.050000,1.227000,4.391000,1.571000,-3.030000,-2.000000,0.000000,0.120000,7.770000
58,36.000000,0.177024,120.000000,0.488153,85.290000,-0.030000,4.000000,0.050000,1.227000,4.391000,1.571000,-3.030000,-2.000000,0.000000,0.120000,7.770000
59,36.000000,0.177024,120.000000,0.488153,85.290000,0.460000,4.000000,0.050000,-1.452000,-3.363000,-6.618000,-2.290000,-1.940000,0.000000,0.090000,7.760000
60,36.000000,0.177024,120.000000,0.488153,85.290000,0.460000,4.000000,0.050000,-1.452000,-3.363000,-6.618000,-2.290000,-1.940000,0.000000,0.090000,7.760000
61,36.000000,0.177024,120.000000,0.488153,85.320000,-0.060000,4.000000,0.050000,6.604000,-0.875000,-17.550000,-14.650000,-1.990000,0.000000,0.070000,7.710000
62,36.000000,0.177024,120.000000,0.488153,85.320000,0.400000,4.000000,0.050000,8.885000,-9.535000,-20.831000,10.060000,-2.210000,0.000000,0.250000,7.690000
63,36.000000,0.177024,120.000000,0.488153,85.320000,0.400000,4.000000,0.050000,8.885000,-9.535000,-20.831000,10.060000,-2.210000,0.000000,0.250000,7.690000
64,36.000000,0.177024,120.000000,0.488153,85.330000,-0.100000,4.000000,0.050000,-1.460000,9.404000,11.781000,12.410000,-2.060000,0.000000,0.200000,7.710000
65,36.000000,0.177024,120.000000,0.488153,85.330000,-0.100000,4.000000,0.050000,-1.460000,9.404000,11.781000,12.410000,-2.060000,0.000000,0.200000,7.710000
66,36.000000,0.177024,120.000000,0.488153,85.330000,0.250000,4.000000,0.050000,1.301000,-8.347000,-21.145000,18.320000,-2.400000,0.000000,0.000000,7.720000
67,36.000000,0.177024,120.000000,0.488153,85.330000,0.020000,4.000000,0.050000,2.640000,-2.206000,-9.687000,19.310000,-2.310000,0.000000,0.010000,7.770000
68,36.000000,0.177024,120.000000,0.488153,85.330000,0.020000,4.000000,0.050000,2.640000,-2.206000,-9.687000,19.310000,-2.310000,0.000000,0.010000,7.770000
69,36.000000,0.177024,120.000000,0.488153,85.240000,0.260000,4.000000,0.040000,-5.605000,-5.714000,-18.728000,25.470000,-2.430000,0.000000,0.010000,7.800000
70,36.000000,0.177024,120.000000,0.488153,85.240000,0.260000,4.000000,0.040000,-5.605000,-5.714000,-18.728000,25.470000,-2.430000,0.000000,0.010000,7.800000
71,36.000000,0.177024,120.000000,0.488153,85.240000,0.170000,4.000000,0.040000,11.692000,10.681000,7.307000,18.220000,-2.200000,0.000000,0.010000,7.870000
72,36.000000,0.177024,120.000000,0.488153,85.240000,0.170000,4.000000,0.040000,11.692000,10.681000,7.307000,18.220000,-2.200000,0.000000,0.010000,7.870000
73,36.000000,0.177024,120.000000,0.488153,85.240000,-0.280000,4.000000,0.040000,2.911000,-9.737000,-18.359000,0.000000,-2.050000,0.000000,0.010000,-0.030000
74,36.000000,0.177024,120.000000,0.488153,85.240000,-0.280000,4.000000,0.040000,2.911000,-9.737000,-18.359000,0.000000,-2.050000,0.000000,0.010000,-0.030000
75,36.000000,0.177024,120.000000,0.488153,85.230000,0.210000,4.000000,0.070000,0.155000,1.435000,7.181000,21.030000,-2.040000,0.000000,0.020000,7.930000
76,36.000000,0.177024,120.000000,0.488153,85.230000,0.210000,4.000000,0.070000,0.155000,1.435000,7.181000,21.030000,-2.040000,0.000000,0.020000,7.930000
77,36.000000,0.177024,120.000000,0.488153,85.230000,-0.190000,4.000000,0.070000,-6.232000,9.555000,4.335000,-1.690000,-1.880000,0.000000,0.010000,7.900000
78,36.000000,0.177024,120.000000,0.488153,85.230000,-0.190000,4.000000,0.070000,-6.232000,9.555000,4.335000,-1.690000,-1.880000,0.000000,0.010000,7.900000
79,36.000000,0.177024,120.000000,0.488153,85.300000,0.400000,4.000000,0.050000,3.701000,-6.686000,-19.367000,2.700000,-1.920000,0.000000,0.010000,7.930000
80,36.000000,0.177024,120.000000,0.488153,85.300000,0.400000,4.000000,0.050000,3.701000,-6.686000,-19.367000,2.700000,-1.920000,0.000000,0.010000,7.930000
81,36.000000,0.177024,120.000000,0.488153,85.300000,-0.140000,4.000000,0.050000,-4.129000,9.544000,3.179000,-10.050000,-1.760000,0.000000,0.000000,7.930000
82,36.000000,0.177024,120.000000,0.488153,85.300000,-0.140000,4.000000,0.050000,-4.129000,9.544000,3.179000,-10.050000,-1.760000,0.000000,0.000000,7.930000
83,36.000000,0.177024,120.000000,0.488153,85.300000,-0.160000,4.000000,0.050000,-10.465000,8.360000,-1.467000,-8.310000,-1.760000,0.000000,0.010000,7.870000
84,36.000000,0.177024,120.000000,0.488153,85.300000,0.120000,4.000000,0.050000,-2.623000,7.229000,6.606000,-19.560000,-1.540000,0.000000,0.010000,7.870000
85,36.000000,0.177024,120.000000,0.488153,85.300000,-0.240000,4.000000,0.050000,8.327000,-4.341000,-18.312000,-6.410000,-1.480000,0.000000,0.060000,7.780000
86,36.000000,0.177024,120.000000,0.488153,85.300000,-0.240000,4.000000,0.050000,8.327000,-4.341000,-18.312000,-6.410000,-1.480000,0.000000,0.060000,7.780000
87,36.000000,0.177024,120.000000,0.488153,85.300000,-0.020000,4.000000,0.050000,5.275000,-4.350000,-19.411000,2.840000,-1.660000,0.000000,0.160000,7.750000
88,36.000000,0.177024,120.000000,0.488153,85.300000,-0.020000,4.000000,0.050000,5.275000,-4.350000,-19.411000,2.840000,-1.660000,0.000000,0.160000,7.750000
89,36.000000,0.177024,120.000000,0.488153,85.250000,-0.480000,4.000000,0.070000,-8.356000,1.042000,-16.384000,27.700000,-1.590000,0.000000,0.220000,7.730000
90,36.000000,0.177024,120.000000,0.488153,85.250000,-0.480000,4.000000,0.070000,-8.356000,1.042000,-16.384000,27.700000,-1.590000,0.000000,0.220000,7.730000
91,36.000000,0.177024,120.000000,0.488153,85.250000,0.020000,4.000000,0.070000,-6.831000,1.042000,-17.076000,18.330000,-1.850000,0.000000,0.050000,7.790000
92,36.000000,0.177024,120.000000,0.488153,85.250000,0.020000,4.000000,0.070000,-6.831000,1.042000,-17.076000,18.330000,-1.850000,0.000000,0.050000,7.790000
93,36.000000,0.177024,120.000000,0.488153,85.230000,-0.410000,4.000000,0.040000,6.759000,-11.003000,-15.961000,27.130000,-2.040000,0.000000,0.070000,7.730000
94,36.000000,0.177024,120.000000,0.488153,85.230000,-0.410000,4.000000,0.040000,6.759000,-11.003000,-15.961000,27.130000,-2.040000,0.000000,0.070000,7.730000
95,36.000000,0.177024,120.000000,0.488153,85.230000,0.030000,4.000000,0.040000,-4.746000,1.487000,-5.647000,18.160000,-2.050000,0.000000,0.010000,7.740000
96,36.000000,0.177024,120.000000,0.488153,85.230000,0.030000,4.000000,0.040000,-4.746000,1.487000,-5.647000,18.160000,-2.050000,0.000000,0.010000,7.740000
97,36.000000,0.177024,120.000000,0.488153,85.230000,0.180000,4.000000,0.040000,-0.736000,2.809000,0.861000,-1.920000,-2.090000,0.000000,0.010000,7.760000
98,36.000000,0.177024,120.000000,0.488153,85.230000,0.180000,4.000000,0.040000,-0.736000,2.809000,0.861000,-1.920000,-2.090000,0.000000,0.010000,7.760000
99,36.000000,0.177024,120.000000,0.488153,85.250000,-0.040000,4.000000,0.080000,10.438000,-3.737000,-14.342000,-4.980000,-1.990000,0.000000,0.100000,7.690000
100,36.000000,0.177024,120.000000,0.488153,85.250000,-0.040000,4.000000,0.080000,10.438000,-3.737000,-14.342000,-4.980000,-1.990000,0.000000,0.100000,7.690000
101,36.000000,0.177024,120.000000,0.488153,85.250000,0.240000,4.000000,0.080000,-0.600000,2.190000,3.751000,-8.610000,-1.740000,0.000000,0.040000,7.670000
102,36.000000,0.177024,120.000000,0.488153,85.250000,0.240000,4.000000,0.080000,-0.600000,2.190000,3.751000,-8.610000,-1.740000,0.000000,0.040000,7.670000
103,36.000000,0.177024,120.000000,0.488153,85.290000,-0.150000,4.000000,0.050000,12.507000,-7.750000,-18.406000,-6.550000,-1.780000,0.000000,0.160000,7.670000
104,36.000000,0.177024,120.000000,0.488153,85.290000,0.240000,4.000000,0.050000,-2.200000,-1.943000,8.162000,1.270000,-1.770000,0.000000,0.000000,7.560000
105,36.000000,0.177024,120.000000,0.488153,85.290000,0.240000,4.000000,0.050000,-2.200000,-1.943000,8.162000,1.270000,-1.770000,0.000000,0.000000,7.560000
106,36.000000,0.177024,120.000000,0.488153,85.290000,0.220000,4.000000,0.050000,12.285000,-7.829000,-18.612000,-4.660000,-1.760000,0.000000,0.010000,7.470000
107,36.000000,0.177024,120.000000,0.488153,85.290000,0.220000,4.000000,0.050000,12.285000,-7.829000,-18.612000,-4.660000,-1.760000,0.000000,0.010000,7.470000
108,36.000000,0.177024,120.000000,0.488153,85.220000,-0.030000,4.000000,0.080000,-0.186000,3.157000,1.732000,4.040000,-1.690000,0.000000,0.020000,7.370000
109,36.000000,0.177024,120.000000,0.488153,85.220000,0.380000,4.000000,0.080000,13.826000,-9.182000,-17.315000,-11.330000,-1.780000,0.000000,0.130000,7.310000
110,36.000000,0.177024,120.000000,0.488153,85.220000,0.380000,4.000000,0.080000,13.826000,-9.182000,-17.315000,-11.330000,-1.780000,0.000000,0.130000,7.310000
111,36.000000,0.177024,120.000000,0.488153,85.220000,-0.010000,4.000000,0.080000,2.526000,0.338000,-0.581000,7.470000,-1.690000,0.000000,0.130000,7.200000
112,36.000000,0.177024,120.000000,0.488153,85.220000,-0.010000,4.000000,0.080000,2.526000,0.338000,-0.581000,7.470000,-1.690000,0.000000,0.130000,7.200000
113,36.000000,0.177024,120.000000,0.488153,85.260000,0.480000,4.000000,0.050000,-8.705000,9.026000,4.552000,-7.830000,-1.570000,0.000000,0.010000,7.160000
114,36.000000,0.177024,120.000000,0.488153,85.260000,0.480000,4.000000,0.050000,-8.705000,9.026000,4.552000,-7.830000,-1.570000,0.000000,0.010000,7.160000
115,36.000000,0.177024,120.000000,0.488153,85.260000,0.070000,4.000000,0.050000,0.827000,-7.766000,3.906000,7.570000,-1.600000,0.000000,0.010000,7.100000
116,36.000000,0.177024,120.000000,0.488153,85.260000,0.070000,4.000000,0.050000,0.827000,-7.766000,3.906000,7.570000,-1.600000,0.000000,0.010000,7.100000
117,36.000000,0.177024,120.000000,0.488153,85.290000,0.540000,4.000000,0.080000,-7.913000,11.093000,11.596000,11.870000,-1.410000,0.000000,0.010000,7.030000
118,36.000000,0.177024,120.000000,0.488153,85.290000,0.540000,4.000000,0.080000,-7.913000,11.093000,11.596000,11.870000,-1.410000,0.000000,0.010000,7.030000
119,36.000000,0.177024,120.000000,0.488153,85.290000,0.580000,4.000000,0.080000,2.086000,-6.125000,-8.360000,-23.880000,-1.320000,0.000000,0.050000,7.010000
120,36.000000,0.177024,120.000000,0.488153,85.290000,-0.320000,4.000000,0.080000,-8.055000,12.387000,8.190000,0.930000,-1.180000,0.000000,0.050000,6.920000
121,36.000000,0.177024,120.000000,0.488153,85.290000,-0.320000,4.000000,0.080000,-8.055000,12.387000,8.190000,0.930000,-1.180000,0.000000,0.050000,6.920000
122,36.000000,0.177024,120.000000,0.488153,85.330000,0.140000,4.000000,0.070000,-2.662000,0.617000,-18.794000,-5.880000,-1.360000,0.000000,0.060000,6.910000
123,36.000000,0.177024,120.000000,0.488153,85.330000,0.140000,4.000000,0.070000,-2.662000,0.617000,-18.794000,-5.880000,-1.360000,0.000000,0.060000,6.910000
124,36.000000,0.177024,120.000000,0.488153,85.330000,-0.430000,4.000000,0.070000,-4.849000,9.768000,12.837000,9.440000,-1.430000,0.000000,0.160000,6.850000
125,36.000000,0.177024,120.000000,0.488153,85.330000,-0.430000,4.000000,0.070000,-4.849000,9.768000,12.837000,9.440000,-1.430000,0.000000,0.160000,6.850000
126,36.000000,0.177024,120.000000,0.488153,85.330000,0.140000,4.000000,0.070000,4.279000,-3.420000,-12.679000,4.160000,-1.360000,0.000000,0.120000,6.880000
127,36.000000,0.177024,120.000000,0.488153,85.330000,0.140000,4.000000,0.070000,4.279000,-3.420000,-12.679000,4.160000,-1.360000,0.000000,0.120000,6.880000
128,36.000000,0.177024,120.000000,0.488153,85.320000,-0.440000,4.000000,0.070000,8.725000,-8.857000,-18.892000,-4.880000,-1.630000,0.000000,0.120000,6.870000
129,36.000000,0.177024,120.000000,0.488153,85.320000,0.240000,4.000000,0.070000,3.427000,-2.585000,-14.236000,2.830000,-1.650000,0.000000,0.110000,6.840000
130,36.000000,0.177024,120.000000,0.488153,85.320000,0.240000,4.000000,0.070000,3.427000,-2.585000,-14.236000,2.830000,-1.650000,0.000000,0.110000,6.840000
131,36.000000,0.177024,120.000000,0.488153,85.320000,0.240000,4.000000,0.070000,5.424000,-7.438000,-18.679000,-11.640000,-1.740000,0.000000,0.080000,6.850000
132,36.000000,0.177024,120.000000,0.488153,85.290000,-0.180000,4.000000,0.080000,8.489000,-4.277000,-16.824000,-3.820000,-1.970000,0.000000,0.170000,6.820000
133,36.000000,0.177024,120.000000,0.488153,85.290000,-0.180000,4.000000,0.080000,8.489000,-4.277000,-16.824000,-3.820000,-1.970000,0.000000,0.170000,6.820000
